tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
bbc,SEATA-6,io.seata.core.rpc.RpcContext,1,336,29048,8643,38,0,0,0,85,80,94.117645,32,29,90.625,30,29,96.666664,29,96.666664,1,30,2
bbc,FASTJSON-15,com.alibaba.fastjson.util.IOUtils,4,326,33252,16268,121,0,0,0,391,308,78.77238,270,178,65.92593,164,119,72.560974,119,72.560974,45,30,2
bbc,FASTJSON-64,com.alibaba.fastjson.serializer.JSONSerializer,9,337,33055,22903,111,0,22,0,185,139,75.13513,108,65,60.18519,27,0,0.0,0,0.0,27,30,2
bbc,FASTJSON-85,com.alibaba.fastjson.serializer.CharArrayCodec,8,344,31119,15542,5,0,0,0,35,3,8.571429,20,0,0.0,20,1,5.0,1,5.0,19,30,2
bbc,SEATA-24,io.seata.core.protocol.transaction.BranchReportRequest,7,311,29396,8743,33,0,1,0,88,88,100.0,22,22,100.0,30,30,100.0,30,100.0,0,30,2
bbc,FASTJSON-32,com.alibaba.fastjson.support.hsf.HSFJSONUtils,1,320,31525,22786,9,0,0,0,70,23,32.857143,28,10,35.714287,30,10,33.333336,10,33.333336,20,30,2
bbc,SEATA-16,io.seata.core.store.StoreMode,2,309,28457,630,5,0,0,0,7,0,0.0,4,0,0.0,5,0,0.0,0,0.0,5,30,2
bbc,SPOON-157,spoon.support.DefaultCoreFactory,3,326,31632,11042,103,0,0,0,429,177,41.25874,160,82,51.25,167,5,2.9940119,5,2.9940119,162,30,2
bbc,SEATA-29,io.seata.core.rpc.DefaultServerMessageListenerImpl,2,331,34225,8052,10,0,3,0,68,22,32.352943,24,6,25.0,22,4,18.181818,4,18.181818,18,30,2
bbc,SEATA-4,io.seata.core.protocol.MessageFuture,3,311,45786,4743,7,0,0,0,22,22,100.0,10,10,100.0,13,13,100.0,13,100.0,0,30,2
bbc,FASTJSON-15,com.alibaba.fastjson.util.IOUtils,3,338,33265,17012,112,0,3,0,391,305,78.00512,270,174,64.44444,164,115,70.12195,115,70.12195,49,30,2
bbc,SPOON-19,spoon.reflect.visitor.filter.LineFilter,6,308,28859,8167,2,0,0,0,22,10,45.454548,16,5,31.25,16,6,37.5,6,37.5,10,30,2
bbc,FASTJSON-79,com.alibaba.fastjson.parser.ParserConfig,5,337,35155,39442,111,0,46,0,518,398,76.83398,410,257,62.682926,26,0,0.0,0,0.0,26,30,2
bbc,SEATA-14,io.seata.core.protocol.transaction.BranchRegisterRequest,7,322,29657,8499,35,0,4,0,95,94,98.94737,32,32,100.0,42,41,97.61904,41,97.61904,1,30,2
bbc,FASTJSON-49,com.alibaba.fastjson.serializer.ArraySerializer,6,329,30637,14170,5,0,0,0,28,6,21.428572,14,1,7.1428576,14,1,7.1428576,1,7.1428576,13,30,2
bbc,SPOON-163,spoon.pattern.internal.node.MapEntryNode,6,325,32801,9186,29,0,1,0,38,30,78.94737,20,12,60.000004,6,0,0.0,0,0.0,6,30,2
